Date,Open,High,Low,Close
"Jan 8, 2024","3,020.00","3,027.00","2,952.95","2,963.50"
"Jan 5, 2024","3,009.95","3,066.90","2,981.10","3,006.60"
"Jan 4, 2024","3,039.40","3,044.45","2,990.00","2,998.30"
"Jan 3, 2024","3,047.00","3,199.00","2,955.60","3,003.00"
"Jan 2, 2024","2,922.00","2,948.20","2,841.00","2,932.40"
"Jan 1, 2024","2,852.30","2,947.00","2,842.05","2,917.20"
"Dec 29, 2023","2,823.90","2,863.30","2,802.85","2,848.95"
"Dec 28, 2023","2,855.00","2,867.35","2,800.10","2,809.90"
"Dec 27, 2023","2,880.70","2,894.80","2,833.60","2,843.35"
"Dec 26, 2023","2,817.00","2,893.75","2,800.10","2,865.45"
"Dec 22, 2023","2,815.95","2,847.60","2,791.40","2,808.35"
"Dec 21, 2023","2,750.00","2,821.95","2,725.00","2,799.75"
"Dec 20, 2023","2,946.00","2,968.00","2,766.20","2,783.85"
"Dec 19, 2023","2,988.80","2,994.35","2,915.00","2,941.25"
"Dec 18, 2023","2,993.95","3,027.75","2,961.10","2,980.60"
"Dec 15, 2023","2,912.05","3,000.00","2,893.90","2,991.80"
"Dec 14, 2023","2,900.95","2,932.95","2,887.00","2,894.05"
"Dec 13, 2023","2,860.00","2,899.10","2,805.00","2,875.05"
"Dec 12, 2023","2,869.10","2,895.95","2,840.55","2,857.65"
"Dec 11, 2023","2,837.05","2,919.90","2,811.05","2,855.80"
"Dec 8, 2023","2,902.70","2,927.00","2,760.00","2,822.15"
"Dec 7, 2023","2,900.00","2,945.90","2,853.05","2,887.15"
"Dec 6, 2023","3,080.00","3,154.55","2,844.85","2,883.95"
"Dec 5, 2023","2,531.20","2,999.90","2,531.20","2,959.35"
"Dec 4, 2023","2,549.95","2,595.00","2,487.45","2,531.20"
"Dec 1, 2023","2,370.00","2,403.35","2,354.10","2,362.70"
"Nov 30, 2023","2,400.05","2,409.00","2,343.05","2,358.55"
"Nov 29, 2023","2,468.70","2,477.65","2,390.00","2,396.60"
"Nov 28, 2023","2,301.00","2,512.40","2,275.00","2,423.50"
"Nov 24, 2023","2,179.00","2,251.95","2,160.90","2,225.45"
"Nov 23, 2023","2,190.00","2,190.00","2,160.60","2,175.25"
"Nov 22, 2023","2,205.15","2,225.00","2,153.50","2,172.65"
"Nov 21, 2023","2,160.00","2,232.55","2,158.35","2,196.65"
"Nov 20, 2023","2,211.00","2,218.50","2,142.00","2,149.85"
"Nov 17, 2023","2,205.90","2,237.95","2,201.00","2,208.80"
"Nov 16, 2023","2,226.00","2,232.80","2,196.10","2,205.90"
"Nov 15, 2023","2,240.00","2,250.00","2,220.50","2,225.40"
"Nov 13, 2023","2,215.50","2,241.90","2,195.55","2,213.65"
"Nov 10, 2023","2,220.25","2,237.00","2,198.50","2,205.10"
"Nov 9, 2023","2,269.00","2,272.60","2,210.10","2,214.65"
"Nov 8, 2023","2,245.30","2,298.00","2,235.00","2,259.95"
"Nov 7, 2023","2,257.00","2,260.00","2,226.65","2,233.35"
"Nov 6, 2023","2,253.95","2,260.00","2,233.00","2,246.00"
"Nov 3, 2023","2,215.30","2,279.00","2,215.00","2,229.85"
"Nov 2, 2023","2,247.00","2,297.95","2,204.20","2,215.30"
"Nov 1, 2023","2,299.00","2,312.25","2,207.00","2,217.30"
"Oct 31, 2023","2,320.00","2,320.00","2,276.00","2,294.65"
"Oct 30, 2023","2,260.05","2,305.00","2,250.00","2,299.10"
"Oct 27, 2023","2,222.00","2,275.00","2,212.00","2,261.70"
"Oct 26, 2023","2,249.00","2,249.00","2,167.05","2,203.20"
"Oct 25, 2023","2,320.00","2,348.05","2,235.30","2,257.00"
"Oct 23, 2023","2,397.80","2,412.35","2,301.80","2,308.65"
"Oct 20, 2023","2,398.05","2,443.95","2,382.05","2,393.75"
"Oct 19, 2023","2,400.00","2,414.70","2,382.55","2,402.20"
"Oct 18, 2023","2,440.00","2,441.75","2,401.05","2,406.35"
"Oct 17, 2023","2,459.95","2,462.00","2,423.50","2,428.40"
"Oct 16, 2023","2,454.55","2,464.70","2,421.85","2,429.35"
"Oct 13, 2023","2,488.90","2,495.00","2,422.35","2,454.55"
"Oct 12, 2023","2,499.90","2,521.75","2,490.65","2,506.35"
"Oct 11, 2023","2,533.90","2,538.00","2,482.50","2,488.60"
"Oct 10, 2023","2,443.00","2,517.95","2,443.00","2,498.30"
"Oct 9, 2023","2,440.00","2,459.70","2,411.30","2,442.60"
"Oct 6, 2023","2,466.35","2,514.95","2,466.05","2,478.10"
"Oct 5, 2023","2,477.95","2,486.50","2,446.40","2,466.35"
"Oct 4, 2023","2,402.20","2,502.75","2,392.25","2,464.95"
"Oct 3, 2023","2,418.00","2,424.90","2,372.00","2,387.25"
"Sep 29, 2023","2,462.05","2,479.55","2,405.05","2,413.90"
"Sep 28, 2023","2,489.95","2,511.00","2,446.70","2,475.25"
"Sep 27, 2023","2,460.00","2,498.00","2,445.10","2,483.30"
"Sep 26, 2023","2,491.00","2,499.00","2,452.60","2,457.95"
"Sep 25, 2023","2,479.95","2,489.00","2,424.00","2,482.10"
"Sep 22, 2023","2,489.95","2,498.00","2,460.00","2,464.90"
"Sep 21, 2023","2,479.80","2,503.80","2,461.00","2,479.25"
"Sep 20, 2023","2,502.40","2,533.65","2,458.90","2,470.30"
"Sep 18, 2023","2,552.00","2,555.00","2,491.00","2,502.45"
"Sep 15, 2023","2,519.80","2,558.00","2,514.20","2,540.05"
"Sep 14, 2023","2,541.85","2,545.00","2,506.05","2,519.80"
"Sep 13, 2023","2,545.70","2,566.95","2,496.00","2,518.90"
"Sep 12, 2023","2,622.45","2,626.60","2,530.00","2,535.70"
"Sep 11, 2023","2,565.00","2,630.25","2,546.00","2,614.95"
"Sep 8, 2023","2,513.80","2,538.60","2,506.10","2,519.30"
"Sep 7, 2023","2,498.00","2,520.00","2,485.00","2,509.50"
"Sep 6, 2023","2,494.05","2,504.00","2,471.00","2,496.50"
"Sep 5, 2023","2,482.00","2,501.40","2,464.00","2,494.05"
"Sep 4, 2023","2,454.00","2,480.00","2,450.05","2,470.60"
"Sep 1, 2023","2,381.00","2,465.55","2,380.00","2,450.05"
"Aug 31, 2023","2,449.95","2,489.95","2,383.75","2,419.25"
"Aug 30, 2023","2,517.00","2,543.00","2,492.40","2,513.10"
"Aug 29, 2023","2,472.10","2,536.65","2,445.00","2,506.45"
"Aug 28, 2023","2,550.00","2,582.00","2,455.65","2,472.45"
"Aug 25, 2023","2,549.00","2,549.00","2,486.00","2,495.75"
"Aug 24, 2023","2,580.00","2,613.00","2,531.10","2,539.55"
"Aug 23, 2023","2,720.00","2,722.40","2,488.85","2,530.30"
"Aug 22, 2023","2,668.85","2,721.00","2,654.10","2,698.05"
"Aug 21, 2023","2,588.00","2,655.00","2,580.50","2,639.75"
"Aug 18, 2023","2,477.50","2,665.95","2,461.30","2,577.40"
"Aug 17, 2023","2,454.95","2,487.20","2,442.05","2,479.70"
"Aug 16, 2023","2,450.00","2,465.00","2,420.00","2,445.10"
"Aug 14, 2023","2,480.00","2,484.95","2,400.05","2,456.00"
"Aug 11, 2023","2,550.05","2,568.15","2,518.20","2,539.50"
"Aug 10, 2023","2,510.00","2,577.50","2,510.00","2,552.40"
"Aug 9, 2023","2,488.35","2,516.90","2,472.00","2,507.10"
"Aug 8, 2023","2,563.25","2,563.25","2,461.30","2,474.55"
"Aug 7, 2023","2,550.95","2,569.00","2,516.40","2,550.50"
"Aug 4, 2023","2,545.30","2,557.90","2,502.00","2,541.80"
"Aug 3, 2023","2,469.90","2,550.00","2,462.00","2,532.60"
"Aug 2, 2023","2,493.00","2,514.00","2,451.00","2,473.55"
"Aug 1, 2023","2,504.85","2,514.00","2,455.25","2,481.10"
"Jul 31, 2023","2,477.00","2,518.00","2,467.00","2,492.20"
"Jul 28, 2023","2,437.00","2,481.65","2,431.10","2,463.20"
"Jul 27, 2023","2,470.75","2,485.00","2,415.00","2,428.40"
"Jul 26, 2023","2,472.45","2,506.00","2,446.00","2,470.75"
"Jul 25, 2023","2,428.00","2,479.00","2,416.00","2,466.65"
"Jul 24, 2023","2,430.00","2,439.40","2,412.05","2,418.20"
"Jul 21, 2023","2,410.00","2,457.85","2,395.30","2,416.30"
"Jul 20, 2023","2,428.95","2,433.90","2,400.00","2,419.75"
"Jul 19, 2023","2,428.65","2,443.00","2,416.90","2,423.75"
"Jul 18, 2023","2,415.00","2,510.00","2,405.20","2,416.90"
"Jul 17, 2023","2,399.90","2,459.50","2,391.30","2,408.55"
"Jul 14, 2023","2,375.00","2,385.00","2,340.00","2,376.10"
"Jul 13, 2023","2,397.00","2,405.70","2,355.55","2,362.05"
"Jul 12, 2023","2,429.90","2,432.00","2,380.45","2,387.90"
"Jul 11, 2023","2,423.75","2,444.95","2,388.00","2,422.90"
"Jul 10, 2023","2,392.80","2,462.70","2,355.00","2,410.25"
"Jul 7, 2023","2,395.00","2,409.95","2,368.10","2,379.60"
"Jul 6, 2023","2,399.15","2,427.60","2,390.00","2,402.90"
"Jul 5, 2023","2,391.00","2,412.05","2,374.00","2,399.15"
"Jul 4, 2023","2,397.00","2,414.00","2,373.05","2,387.70"
"Jul 3, 2023","2,405.00","2,417.85","2,373.20","2,385.50"
"Jun 30, 2023","2,437.95","2,437.95","2,350.00","2,388.05"
"Jun 28, 2023","2,300.00","2,418.60","2,293.85","2,402.00"
"Jun 27, 2023","2,328.95","2,343.85","2,271.00","2,284.45"
"Jun 26, 2023","2,210.05","2,336.45","2,173.05","2,295.60"
"Jun 23, 2023","2,392.30","2,392.30","2,163.30","2,233.55"
"Jun 22, 2023","2,425.10","2,449.95","2,360.00","2,397.25"
"Jun 21, 2023","2,426.70","2,440.00","2,393.10","2,405.95"
"Jun 20, 2023","2,435.00","2,435.00","2,390.00","2,414.80"
"Jun 19, 2023","2,504.00","2,521.60","2,350.00","2,401.40"
"Jun 16, 2023","2,499.20","2,526.90","2,487.40","2,509.60"
"Jun 15, 2023","2,469.00","2,527.00","2,462.90","2,485.65"
"Jun 14, 2023","2,469.90","2,484.80","2,452.35","2,457.15"
"Jun 13, 2023","2,499.00","2,505.00","2,442.20","2,462.55"
"Jun 12, 2023","2,460.00","2,505.00","2,432.60","2,484.80"
"Jun 9, 2023","2,447.95","2,458.90","2,428.00","2,451.15"
"Jun 8, 2023","2,450.00","2,475.90","2,369.05","2,429.15"
"Jun 7, 2023","2,453.00","2,466.95","2,435.00","2,439.55"
